[2024-07-24 16:04:13] UTK/USDT (BINANCE:UTKUSDT) Timeframe: 1m, Current price: 0.0490, Current candle evolution: 0.18%
[2024-07-24 16:05:50] W/USDT (BINANCE:WUSDT) Timeframe: 1m, Current price: 0.3100, Current candle evolution: -0.48%

[2024-07-24 16:05:50] MAGIC/USDT (BINANCE:MAGICUSDT) Timeframe: 1m, Current price: 0.4909, Current candle evolution: -0.32%

[2024-07-24 16:05:50] CAKE/USDT (BINANCE:CAKEUSDT) Timeframe: 1m, Current price: 1.9840, Current candle evolution: -0.30%

[2024-07-24 16:05:50] DIA/USDT (BINANCE:DIAUSDT) Timeframe: 1m, Current price: 0.3693, Current candle evolution: -0.30%

[2024-07-24 16:05:50] VANRY/USDT (BINANCE:VANRYUSDT) Timeframe: 1m, Current price: 0.1273, Current candle evolution: -0.31%

[2024-07-24 16:05:51] KNC/USDT (BINANCE:KNCUSDT) Timeframe: 1m, Current price: 0.5406, Current candle evolution: -0.39%

[2024-07-24 16:05:51] RAY/USDT (BINANCE:RAYUSDT) Timeframe: 1m, Current price: 2.3230, Current candle evolution: -0.26%

[2024-07-24 16:05:51] SLP/USDT (BINANCE:SLPUSDT) Timeframe: 1m, Current price: 0.0031, Current candle evolution: -0.23%

[2024-07-24 16:05:51] BTC/USDT (BINANCE:BTCUSDT) Timeframe: 1m, Current price: 66110.9300, Current candle evolution: -0.24%

[2024-07-24 16:05:51] MAGIC/USDT (BINANCE:MAGICUSDT) Timeframe: 1m, Current price: 0.4910, Current candle evolution: -0.30%

[2024-07-24 16:05:51] W/USDT (BINANCE:WUSDT) Timeframe: 1m, Current price: 0.3100, Current candle evolution: -0.48%

[2024-07-24 16:05:52] DIA/USDT (BINANCE:DIAUSDT) Timeframe: 1m, Current price: 0.3693, Current candle evolution: -0.30%

[2024-07-24 16:05:52] CAKE/USDT (BINANCE:CAKEUSDT) Timeframe: 1m, Current price: 1.9840, Current candle evolution: -0.30%

[2024-07-24 16:05:52] VANRY/USDT (BINANCE:VANRYUSDT) Timeframe: 1m, Current price: 0.1273, Current candle evolution: -0.31%

[2024-07-24 16:05:52] SLP/USDT (BINANCE:SLPUSDT) Timeframe: 1m, Current price: 0.0031, Current candle evolution: -0.23%

[2024-07-24 16:05:52] RAY/USDT (BINANCE:RAYUSDT) Timeframe: 1m, Current price: 2.3230, Current candle evolution: -0.26%

[2024-07-24 16:05:52] KNC/USDT (BINANCE:KNCUSDT) Timeframe: 1m, Current price: 0.5407, Current candle evolution: -0.37%

[2024-07-24 16:05:52] BTC/USDT (BINANCE:BTCUSDT) Timeframe: 1m, Current price: 66114.0000, Current candle evolution: -0.24%

[2024-07-24 16:05:53] W/USDT (BINANCE:WUSDT) Timeframe: 1m, Current price: 0.3100, Current candle evolution: -0.48%

[2024-07-24 16:05:53] MAGIC/USDT (BINANCE:MAGICUSDT) Timeframe: 1m, Current price: 0.4910, Current candle evolution: -0.30%

[2024-07-24 16:05:53] CAKE/USDT (BINANCE:CAKEUSDT) Timeframe: 1m, Current price: 1.9840, Current candle evolution: -0.30%

[2024-07-24 16:05:53] VANRY/USDT (BINANCE:VANRYUSDT) Timeframe: 1m, Current price: 0.1273, Current candle evolution: -0.31%

[2024-07-24 16:05:53] DIA/USDT (BINANCE:DIAUSDT) Timeframe: 1m, Current price: 0.3693, Current candle evolution: -0.30%

[2024-07-24 16:05:54] KNC/USDT (BINANCE:KNCUSDT) Timeframe: 1m, Current price: 0.5406, Current candle evolution: -0.39%

[2024-07-24 16:05:54] RAY/USDT (BINANCE:RAYUSDT) Timeframe: 1m, Current price: 2.3230, Current candle evolution: -0.26%

[2024-07-24 16:05:54] BTC/USDT (BINANCE:BTCUSDT) Timeframe: 1m, Current price: 66114.0000, Current candle evolution: -0.24%

[2024-07-24 16:05:54] SLP/USDT (BINANCE:SLPUSDT) Timeframe: 1m, Current price: 0.0031, Current candle evolution: -0.23%

[2024-07-24 16:05:54] MAGIC/USDT (BINANCE:MAGICUSDT) Timeframe: 1m, Current price: 0.4910, Current candle evolution: -0.30%

[2024-07-24 16:05:54] W/USDT (BINANCE:WUSDT) Timeframe: 1m, Current price: 0.3099, Current candle evolution: -0.51%

[2024-07-24 16:05:55] DIA/USDT (BINANCE:DIAUSDT) Timeframe: 1m, Current price: 0.3693, Current candle evolution: -0.30%

[2024-07-24 16:05:55] CAKE/USDT (BINANCE:CAKEUSDT) Timeframe: 1m, Current price: 1.9840, Current candle evolution: -0.30%

[2024-07-24 16:05:55] VANRY/USDT (BINANCE:VANRYUSDT) Timeframe: 1m, Current price: 0.1272, Current candle evolution: -0.39%

[2024-07-24 16:05:55] KNC/USDT (BINANCE:KNCUSDT) Timeframe: 1m, Current price: 0.5406, Current candle evolution: -0.39%

[2024-07-24 16:05:55] BTC/USDT (BINANCE:BTCUSDT) Timeframe: 1m, Current price: 66114.0000, Current candle evolution: -0.24%

[2024-07-24 16:05:55] RAY/USDT (BINANCE:RAYUSDT) Timeframe: 1m, Current price: 2.3230, Current candle evolution: -0.26%

[2024-07-24 16:05:55] SLP/USDT (BINANCE:SLPUSDT) Timeframe: 1m, Current price: 0.0031, Current candle evolution: -0.23%

[2024-07-24 16:05:56] MAGIC/USDT (BINANCE:MAGICUSDT) Timeframe: 1m, Current price: 0.4910, Current candle evolution: -0.30%

[2024-07-24 16:05:56] W/USDT (BINANCE:WUSDT) Timeframe: 1m, Current price: 0.3099, Current candle evolution: -0.51%

[2024-07-24 16:05:56] VANRY/USDT (BINANCE:VANRYUSDT) Timeframe: 1m, Current price: 0.1272, Current candle evolution: -0.39%

[2024-07-24 16:05:56] DIA/USDT (BINANCE:DIAUSDT) Timeframe: 1m, Current price: 0.3694, Current candle evolution: -0.27%

[2024-07-24 16:05:56] CAKE/USDT (BINANCE:CAKEUSDT) Timeframe: 1m, Current price: 1.9840, Current candle evolution: -0.30%

[2024-07-24 16:05:57] RAY/USDT (BINANCE:RAYUSDT) Timeframe: 1m, Current price: 2.3240, Current candle evolution: -0.21%

[2024-07-24 16:05:57] SLP/USDT (BINANCE:SLPUSDT) Timeframe: 1m, Current price: 0.0031, Current candle evolution: -0.23%

[2024-07-24 16:05:57] BTC/USDT (BINANCE:BTCUSDT) Timeframe: 1m, Current price: 66120.0100, Current candle evolution: -0.23%

[2024-07-24 16:05:57] KNC/USDT (BINANCE:KNCUSDT) Timeframe: 1m, Current price: 0.5406, Current candle evolution: -0.39%

[2024-07-24 16:05:57] W/USDT (BINANCE:WUSDT) Timeframe: 1m, Current price: 0.3099, Current candle evolution: -0.51%

[2024-07-24 16:05:57] MAGIC/USDT (BINANCE:MAGICUSDT) Timeframe: 1m, Current price: 0.4905, Current candle evolution: -0.41%

[2024-07-24 16:05:57] DIA/USDT (BINANCE:DIAUSDT) Timeframe: 1m, Current price: 0.3694, Current candle evolution: -0.27%

[2024-07-24 16:05:57] VANRY/USDT (BINANCE:VANRYUSDT) Timeframe: 1m, Current price: 0.1272, Current candle evolution: -0.39%

[2024-07-24 16:05:57] CAKE/USDT (BINANCE:CAKEUSDT) Timeframe: 1m, Current price: 1.9840, Current candle evolution: -0.30%

[2024-07-24 16:05:58] SLP/USDT (BINANCE:SLPUSDT) Timeframe: 1m, Current price: 0.0031, Current candle evolution: -0.23%

[2024-07-24 16:05:58] KNC/USDT (BINANCE:KNCUSDT) Timeframe: 1m, Current price: 0.5406, Current candle evolution: -0.39%

[2024-07-24 16:05:58] RAY/USDT (BINANCE:RAYUSDT) Timeframe: 1m, Current price: 2.3240, Current candle evolution: -0.21%

[2024-07-24 16:05:58] BTC/USDT (BINANCE:BTCUSDT) Timeframe: 1m, Current price: 66114.7800, Current candle evolution: -0.23%

[2024-07-24 16:05:58] W/USDT (BINANCE:WUSDT) Timeframe: 1m, Current price: 0.3097, Current candle evolution: -0.58%

[2024-07-24 16:05:58] MAGIC/USDT (BINANCE:MAGICUSDT) Timeframe: 1m, Current price: 0.4907, Current candle evolution: -0.37%

[2024-07-24 16:05:59] VANRY/USDT (BINANCE:VANRYUSDT) Timeframe: 1m, Current price: 0.1272, Current candle evolution: -0.39%

[2024-07-24 16:05:59] DIA/USDT (BINANCE:DIAUSDT) Timeframe: 1m, Current price: 0.3694, Current candle evolution: -0.27%

[2024-07-24 16:05:59] CAKE/USDT (BINANCE:CAKEUSDT) Timeframe: 1m, Current price: 1.9840, Current candle evolution: -0.30%

[2024-07-24 16:05:59] RAY/USDT (BINANCE:RAYUSDT) Timeframe: 1m, Current price: 2.3240, Current candle evolution: -0.21%

[2024-07-24 16:05:59] SLP/USDT (BINANCE:SLPUSDT) Timeframe: 1m, Current price: 0.0031, Current candle evolution: -0.20%

[2024-07-24 16:05:59] BTC/USDT (BINANCE:BTCUSDT) Timeframe: 1m, Current price: 66114.7800, Current candle evolution: -0.23%

[2024-07-24 16:05:59] KNC/USDT (BINANCE:KNCUSDT) Timeframe: 1m, Current price: 0.5406, Current candle evolution: -0.39%

[2024-07-24 16:06:00] W/USDT (BINANCE:WUSDT) Timeframe: 1m, Current price: 0.3097, Current candle evolution: -0.58%

[2024-07-24 16:06:00] MAGIC/USDT (BINANCE:MAGICUSDT) Timeframe: 1m, Current price: 0.4906, Current candle evolution: -0.39%

[2024-07-24 16:06:00] CAKE/USDT (BINANCE:CAKEUSDT) Timeframe: 1m, Current price: 1.9830, Current candle evolution: -0.35%

[2024-07-24 16:06:00] VANRY/USDT (BINANCE:VANRYUSDT) Timeframe: 1m, Current price: 0.1272, Current candle evolution: -0.39%

[2024-07-24 16:06:00] DIA/USDT (BINANCE:DIAUSDT) Timeframe: 1m, Current price: 0.3694, Current candle evolution: -0.27%

[2024-07-24 16:06:01] RAY/USDT (BINANCE:RAYUSDT) Timeframe: 1m, Current price: 2.3230, Current candle evolution: -0.26%

[2024-07-24 16:06:01] SLP/USDT (BINANCE:SLPUSDT) Timeframe: 1m, Current price: 0.0031, Current candle evolution: -0.20%

[2024-07-24 16:06:01] KNC/USDT (BINANCE:KNCUSDT) Timeframe: 1m, Current price: 0.5402, Current candle evolution: -0.46%

[2024-07-24 16:06:01] BTC/USDT (BINANCE:BTCUSDT) Timeframe: 1m, Current price: 66106.0100, Current candle evolution: -0.25%

[2024-07-24 16:06:01] W/USDT (BINANCE:WUSDT) Timeframe: 1m, Current price: 0.3097, Current candle evolution: -0.58%

[2024-07-24 16:06:01] MAGIC/USDT (BINANCE:MAGICUSDT) Timeframe: 1m, Current price: 0.4904, Current candle evolution: -0.43%

[2024-07-24 16:06:02] VANRY/USDT (BINANCE:VANRYUSDT) Timeframe: 1m, Current price: 0.1272, Current candle evolution: -0.39%

[2024-07-24 16:06:02] CAKE/USDT (BINANCE:CAKEUSDT) Timeframe: 1m, Current price: 1.9830, Current candle evolution: -0.35%

[2024-07-24 16:06:02] DIA/USDT (BINANCE:DIAUSDT) Timeframe: 1m, Current price: 0.3694, Current candle evolution: -0.27%

[2024-07-24 16:06:02] BTC/USDT (BINANCE:BTCUSDT) Timeframe: 1m, Current price: 66106.0100, Current candle evolution: -0.25%

[2024-07-24 16:06:02] KNC/USDT (BINANCE:KNCUSDT) Timeframe: 1m, Current price: 0.5402, Current candle evolution: -0.46%

[2024-07-24 16:06:02] SLP/USDT (BINANCE:SLPUSDT) Timeframe: 1m, Current price: 0.0031, Current candle evolution: -0.20%

[2024-07-24 16:06:02] RAY/USDT (BINANCE:RAYUSDT) Timeframe: 1m, Current price: 2.3230, Current candle evolution: -0.26%

[2024-07-24 16:06:03] MAGIC/USDT (BINANCE:MAGICUSDT) Timeframe: 1m, Current price: 0.4904, Current candle evolution: -0.43%

[2024-07-24 16:06:03] W/USDT (BINANCE:WUSDT) Timeframe: 1m, Current price: 0.3095, Current candle evolution: -0.64%

[2024-07-24 16:06:03] VANRY/USDT (BINANCE:VANRYUSDT) Timeframe: 1m, Current price: 0.1272, Current candle evolution: -0.39%

[2024-07-24 16:06:03] CAKE/USDT (BINANCE:CAKEUSDT) Timeframe: 1m, Current price: 1.9830, Current candle evolution: -0.35%

[2024-07-24 16:06:03] DIA/USDT (BINANCE:DIAUSDT) Timeframe: 1m, Current price: 0.3694, Current candle evolution: -0.27%

[2024-07-24 16:06:04] KNC/USDT (BINANCE:KNCUSDT) Timeframe: 1m, Current price: 0.5402, Current candle evolution: -0.46%

[2024-07-24 16:06:04] BTC/USDT (BINANCE:BTCUSDT) Timeframe: 1m, Current price: 66104.0100, Current candle evolution: -0.25%

[2024-07-24 16:06:04] RAY/USDT (BINANCE:RAYUSDT) Timeframe: 1m, Current price: 2.3220, Current candle evolution: -0.30%

[2024-07-24 16:06:04] SLP/USDT (BINANCE:SLPUSDT) Timeframe: 1m, Current price: 0.0031, Current candle evolution: -0.29%

[2024-07-24 16:06:04] MAGIC/USDT (BINANCE:MAGICUSDT) Timeframe: 1m, Current price: 0.4903, Current candle evolution: -0.45%

[2024-07-24 16:06:04] ASTR/USDT (BINANCE:ASTRUSDT) Timeframe: 1m, Current price: 0.0740, Current candle evolution: -0.27%

[2024-07-24 16:06:04] W/USDT (BINANCE:WUSDT) Timeframe: 1m, Current price: 0.3094, Current candle evolution: -0.67%

[2024-07-24 16:06:05] VANRY/USDT (BINANCE:VANRYUSDT) Timeframe: 1m, Current price: 0.1272, Current candle evolution: -0.39%

[2024-07-24 16:06:05] CAKE/USDT (BINANCE:CAKEUSDT) Timeframe: 1m, Current price: 1.9830, Current candle evolution: -0.35%

[2024-07-24 16:06:05] DIA/USDT (BINANCE:DIAUSDT) Timeframe: 1m, Current price: 0.3694, Current candle evolution: -0.27%

[2024-07-24 16:06:05] BTC/USDT (BINANCE:BTCUSDT) Timeframe: 1m, Current price: 66075.1200, Current candle evolution: -0.29%

[2024-07-24 16:06:05] SLP/USDT (BINANCE:SLPUSDT) Timeframe: 1m, Current price: 0.0031, Current candle evolution: -0.33%

[2024-07-24 16:06:05] AGLD/USDT (BINANCE:AGLDUSDT) Timeframe: 1m, Current price: 0.9410, Current candle evolution: -0.21%

[2024-07-24 16:06:05] KNC/USDT (BINANCE:KNCUSDT) Timeframe: 1m, Current price: 0.5399, Current candle evolution: -0.52%

[2024-07-24 16:06:05] RAY/USDT (BINANCE:RAYUSDT) Timeframe: 1m, Current price: 2.3220, Current candle evolution: -0.30%

[2024-07-24 16:06:06] ASTR/USDT (BINANCE:ASTRUSDT) Timeframe: 1m, Current price: 0.0740, Current candle evolution: -0.27%

[2024-07-24 16:06:06] MAGIC/USDT (BINANCE:MAGICUSDT) Timeframe: 1m, Current price: 0.4903, Current candle evolution: -0.45%

[2024-07-24 16:06:06] W/USDT (BINANCE:WUSDT) Timeframe: 1m, Current price: 0.3095, Current candle evolution: -0.64%

[2024-07-24 16:06:06] DIA/USDT (BINANCE:DIAUSDT) Timeframe: 1m, Current price: 0.3694, Current candle evolution: -0.27%

[2024-07-24 16:06:06] VANRY/USDT (BINANCE:VANRYUSDT) Timeframe: 1m, Current price: 0.1272, Current candle evolution: -0.39%

[2024-07-24 16:06:06] CAKE/USDT (BINANCE:CAKEUSDT) Timeframe: 1m, Current price: 1.9830, Current candle evolution: -0.35%

[2024-07-24 16:06:07] RAY/USDT (BINANCE:RAYUSDT) Timeframe: 1m, Current price: 2.3220, Current candle evolution: -0.30%

[2024-07-24 16:06:07] KNC/USDT (BINANCE:KNCUSDT) Timeframe: 1m, Current price: 0.5403, Current candle evolution: -0.44%

[2024-07-24 16:06:07] AGLD/USDT (BINANCE:AGLDUSDT) Timeframe: 1m, Current price: 0.9410, Current candle evolution: -0.21%

[2024-07-24 16:06:07] BTC/USDT (BINANCE:BTCUSDT) Timeframe: 1m, Current price: 66072.0000, Current candle evolution: -0.30%

[2024-07-24 16:06:07] SLP/USDT (BINANCE:SLPUSDT) Timeframe: 1m, Current price: 0.0031, Current candle evolution: -0.33%

[2024-07-24 16:06:07] W/USDT (BINANCE:WUSDT) Timeframe: 1m, Current price: 0.3095, Current candle evolution: -0.64%

[2024-07-24 16:06:07] MAGIC/USDT (BINANCE:MAGICUSDT) Timeframe: 1m, Current price: 0.4903, Current candle evolution: -0.45%

[2024-07-24 16:06:08] CAKE/USDT (BINANCE:CAKEUSDT) Timeframe: 1m, Current price: 1.9830, Current candle evolution: -0.35%

[2024-07-24 16:06:08] VANRY/USDT (BINANCE:VANRYUSDT) Timeframe: 1m, Current price: 0.1272, Current candle evolution: -0.39%

[2024-07-24 16:06:08] DIA/USDT (BINANCE:DIAUSDT) Timeframe: 1m, Current price: 0.3694, Current candle evolution: -0.27%

[2024-07-24 16:06:08] AGLD/USDT (BINANCE:AGLDUSDT) Timeframe: 1m, Current price: 0.9410, Current candle evolution: -0.21%

[2024-07-24 16:06:08] BTC/USDT (BINANCE:BTCUSDT) Timeframe: 1m, Current price: 66072.0000, Current candle evolution: -0.30%

[2024-07-24 16:06:08] SLP/USDT (BINANCE:SLPUSDT) Timeframe: 1m, Current price: 0.0031, Current candle evolution: -0.33%

[2024-07-24 16:06:08] RAY/USDT (BINANCE:RAYUSDT) Timeframe: 1m, Current price: 2.3220, Current candle evolution: -0.30%

[2024-07-24 16:06:08] KNC/USDT (BINANCE:KNCUSDT) Timeframe: 1m, Current price: 0.5402, Current candle evolution: -0.46%

[2024-07-24 16:06:09] W/USDT (BINANCE:WUSDT) Timeframe: 1m, Current price: 0.3093, Current candle evolution: -0.71%

[2024-07-24 16:06:09] ASTR/USDT (BINANCE:ASTRUSDT) Timeframe: 1m, Current price: 0.0740, Current candle evolution: -0.27%

[2024-07-24 16:06:09] MAGIC/USDT (BINANCE:MAGICUSDT) Timeframe: 1m, Current price: 0.4903, Current candle evolution: -0.45%

[2024-07-24 16:06:09] VANRY/USDT (BINANCE:VANRYUSDT) Timeframe: 1m, Current price: 0.1272, Current candle evolution: -0.39%

[2024-07-24 16:06:09] DIA/USDT (BINANCE:DIAUSDT) Timeframe: 1m, Current price: 0.3694, Current candle evolution: -0.27%

[2024-07-24 16:06:09] CAKE/USDT (BINANCE:CAKEUSDT) Timeframe: 1m, Current price: 1.9830, Current candle evolution: -0.35%

[2024-07-24 16:06:10] AGLD/USDT (BINANCE:AGLDUSDT) Timeframe: 1m, Current price: 0.9410, Current candle evolution: -0.21%

[2024-07-24 16:06:10] SLP/USDT (BINANCE:SLPUSDT) Timeframe: 1m, Current price: 0.0031, Current candle evolution: -0.33%

[2024-07-24 16:06:10] KNC/USDT (BINANCE:KNCUSDT) Timeframe: 1m, Current price: 0.5401, Current candle evolution: -0.48%

[2024-07-24 16:06:10] RAY/USDT (BINANCE:RAYUSDT) Timeframe: 1m, Current price: 2.3220, Current candle evolution: -0.30%

[2024-07-24 16:06:10] BTC/USDT (BINANCE:BTCUSDT) Timeframe: 1m, Current price: 66076.0000, Current candle evolution: -0.29%

[2024-07-24 16:06:10] MAGIC/USDT (BINANCE:MAGICUSDT) Timeframe: 1m, Current price: 0.4903, Current candle evolution: -0.45%

[2024-07-24 16:06:10] W/USDT (BINANCE:WUSDT) Timeframe: 1m, Current price: 0.3094, Current candle evolution: -0.67%

[2024-07-24 16:06:10] ASTR/USDT (BINANCE:ASTRUSDT) Timeframe: 1m, Current price: 0.0740, Current candle evolution: -0.27%

[2024-07-24 16:06:11] VANRY/USDT (BINANCE:VANRYUSDT) Timeframe: 1m, Current price: 0.1272, Current candle evolution: -0.39%

[2024-07-24 16:06:11] CAKE/USDT (BINANCE:CAKEUSDT) Timeframe: 1m, Current price: 1.9830, Current candle evolution: -0.35%

[2024-07-24 16:06:11] DIA/USDT (BINANCE:DIAUSDT) Timeframe: 1m, Current price: 0.3694, Current candle evolution: -0.27%

[2024-07-24 16:06:11] RAY/USDT (BINANCE:RAYUSDT) Timeframe: 1m, Current price: 2.3220, Current candle evolution: -0.30%

[2024-07-24 16:06:11] BTC/USDT (BINANCE:BTCUSDT) Timeframe: 1m, Current price: 66076.0000, Current candle evolution: -0.29%

[2024-07-24 16:06:11] KNC/USDT (BINANCE:KNCUSDT) Timeframe: 1m, Current price: 0.5401, Current candle evolution: -0.48%

[2024-07-24 16:06:11] SLP/USDT (BINANCE:SLPUSDT) Timeframe: 1m, Current price: 0.0031, Current candle evolution: -0.33%

[2024-07-24 16:06:12] ASTR/USDT (BINANCE:ASTRUSDT) Timeframe: 1m, Current price: 0.0740, Current candle evolution: -0.27%

[2024-07-24 16:06:12] W/USDT (BINANCE:WUSDT) Timeframe: 1m, Current price: 0.3094, Current candle evolution: -0.67%

[2024-07-24 16:06:12] MAGIC/USDT (BINANCE:MAGICUSDT) Timeframe: 1m, Current price: 0.4904, Current candle evolution: -0.43%

[2024-07-24 16:06:12] VANRY/USDT (BINANCE:VANRYUSDT) Timeframe: 1m, Current price: 0.1272, Current candle evolution: -0.39%

[2024-07-24 16:06:12] CAKE/USDT (BINANCE:CAKEUSDT) Timeframe: 1m, Current price: 1.9830, Current candle evolution: -0.35%

[2024-07-24 16:06:13] KNC/USDT (BINANCE:KNCUSDT) Timeframe: 1m, Current price: 0.5400, Current candle evolution: -0.50%

[2024-07-24 16:06:13] BTC/USDT (BINANCE:BTCUSDT) Timeframe: 1m, Current price: 66080.0100, Current candle evolution: -0.29%

[2024-07-24 16:06:13] AERGO/USDT (BINANCE:AERGOUSDT) Timeframe: 1m, Current price: 0.0981, Current candle evolution: -0.30%

[2024-07-24 16:06:13] RAY/USDT (BINANCE:RAYUSDT) Timeframe: 1m, Current price: 2.3220, Current candle evolution: -0.30%

[2024-07-24 16:06:13] DIA/USDT (BINANCE:DIAUSDT) Timeframe: 1m, Current price: 0.3694, Current candle evolution: -0.27%

[2024-07-24 16:06:13] SLP/USDT (BINANCE:SLPUSDT) Timeframe: 1m, Current price: 0.0031, Current candle evolution: -0.33%

[2024-07-24 16:06:13] W/USDT (BINANCE:WUSDT) Timeframe: 1m, Current price: 0.3094, Current candle evolution: -0.67%

[2024-07-24 16:06:13] MAGIC/USDT (BINANCE:MAGICUSDT) Timeframe: 1m, Current price: 0.4904, Current candle evolution: -0.43%

[2024-07-24 16:06:13] ASTR/USDT (BINANCE:ASTRUSDT) Timeframe: 1m, Current price: 0.0740, Current candle evolution: -0.27%

[2024-07-24 16:06:13] VANRY/USDT (BINANCE:VANRYUSDT) Timeframe: 1m, Current price: 0.1271, Current candle evolution: -0.47%

[2024-07-24 16:06:13] CAKE/USDT (BINANCE:CAKEUSDT) Timeframe: 1m, Current price: 1.9830, Current candle evolution: -0.35%

[2024-07-24 16:06:14] KNC/USDT (BINANCE:KNCUSDT) Timeframe: 1m, Current price: 0.5400, Current candle evolution: -0.50%

[2024-07-24 16:06:14] RAY/USDT (BINANCE:RAYUSDT) Timeframe: 1m, Current price: 2.3220, Current candle evolution: -0.30%

[2024-07-24 16:06:14] SLP/USDT (BINANCE:SLPUSDT) Timeframe: 1m, Current price: 0.0031, Current candle evolution: -0.33%

[2024-07-24 16:06:14] DIA/USDT (BINANCE:DIAUSDT) Timeframe: 1m, Current price: 0.3694, Current candle evolution: -0.27%

[2024-07-24 16:06:14] AERGO/USDT (BINANCE:AERGOUSDT) Timeframe: 1m, Current price: 0.0982, Current candle evolution: -0.20%

[2024-07-24 16:06:14] BTC/USDT (BINANCE:BTCUSDT) Timeframe: 1m, Current price: 66070.7800, Current candle evolution: -0.30%

[2024-07-24 16:06:14] MAGIC/USDT (BINANCE:MAGICUSDT) Timeframe: 1m, Current price: 0.4901, Current candle evolution: -0.49%

[2024-07-24 16:06:14] ASTR/USDT (BINANCE:ASTRUSDT) Timeframe: 1m, Current price: 0.0740, Current candle evolution: -0.27%

[2024-07-24 16:06:14] W/USDT (BINANCE:WUSDT) Timeframe: 1m, Current price: 0.3094, Current candle evolution: -0.67%

[2024-07-24 16:06:15] CAKE/USDT (BINANCE:CAKEUSDT) Timeframe: 1m, Current price: 1.9830, Current candle evolution: -0.35%

[2024-07-24 16:06:15] VANRY/USDT (BINANCE:VANRYUSDT) Timeframe: 1m, Current price: 0.1272, Current candle evolution: -0.39%

[2024-07-24 16:06:15] DIA/USDT (BINANCE:DIAUSDT) Timeframe: 1m, Current price: 0.3694, Current candle evolution: -0.27%

[2024-07-24 16:06:15] KNC/USDT (BINANCE:KNCUSDT) Timeframe: 1m, Current price: 0.5399, Current candle evolution: -0.52%

[2024-07-24 16:06:15] RAY/USDT (BINANCE:RAYUSDT) Timeframe: 1m, Current price: 2.3220, Current candle evolution: -0.30%

[2024-07-24 16:06:15] BTC/USDT (BINANCE:BTCUSDT) Timeframe: 1m, Current price: 66072.0000, Current candle evolution: -0.30%

[2024-07-24 16:06:15] SLP/USDT (BINANCE:SLPUSDT) Timeframe: 1m, Current price: 0.0031, Current candle evolution: -0.33%

[2024-07-24 16:06:15] AERGO/USDT (BINANCE:AERGOUSDT) Timeframe: 1m, Current price: 0.0982, Current candle evolution: -0.20%

[2024-07-24 16:06:16] ASTR/USDT (BINANCE:ASTRUSDT) Timeframe: 1m, Current price: 0.0740, Current candle evolution: -0.27%

[2024-07-24 16:06:16] W/USDT (BINANCE:WUSDT) Timeframe: 1m, Current price: 0.3094, Current candle evolution: -0.67%

[2024-07-24 16:06:16] MAGIC/USDT (BINANCE:MAGICUSDT) Timeframe: 1m, Current price: 0.4902, Current candle evolution: -0.47%

[2024-07-24 16:06:16] VANRY/USDT (BINANCE:VANRYUSDT) Timeframe: 1m, Current price: 0.1272, Current candle evolution: -0.39%

[2024-07-24 16:06:16] CAKE/USDT (BINANCE:CAKEUSDT) Timeframe: 1m, Current price: 1.9830, Current candle evolution: -0.35%

[2024-07-24 16:06:17] RAY/USDT (BINANCE:RAYUSDT) Timeframe: 1m, Current price: 2.3220, Current candle evolution: -0.30%

[2024-07-24 16:06:17] KNC/USDT (BINANCE:KNCUSDT) Timeframe: 1m, Current price: 0.5400, Current candle evolution: -0.50%

[2024-07-24 16:06:17] DIA/USDT (BINANCE:DIAUSDT) Timeframe: 1m, Current price: 0.3694, Current candle evolution: -0.27%

[2024-07-24 16:06:17] AERGO/USDT (BINANCE:AERGOUSDT) Timeframe: 1m, Current price: 0.0982, Current candle evolution: -0.20%

[2024-07-24 16:06:17] SLP/USDT (BINANCE:SLPUSDT) Timeframe: 1m, Current price: 0.0031, Current candle evolution: -0.33%

[2024-07-24 16:06:17] BTC/USDT (BINANCE:BTCUSDT) Timeframe: 1m, Current price: 66070.0100, Current candle evolution: -0.30%

[2024-07-24 16:06:17] MAGIC/USDT (BINANCE:MAGICUSDT) Timeframe: 1m, Current price: 0.4903, Current candle evolution: -0.45%

[2024-07-24 16:06:17] W/USDT (BINANCE:WUSDT) Timeframe: 1m, Current price: 0.3093, Current candle evolution: -0.71%

[2024-07-24 16:06:18] CAKE/USDT (BINANCE:CAKEUSDT) Timeframe: 1m, Current price: 1.9830, Current candle evolution: -0.35%

[2024-07-24 16:06:18] VANRY/USDT (BINANCE:VANRYUSDT) Timeframe: 1m, Current price: 0.1272, Current candle evolution: -0.39%

[2024-07-24 16:06:18] BTC/USDT (BINANCE:BTCUSDT) Timeframe: 1m, Current price: 66089.6300, Current candle evolution: -0.27%

[2024-07-24 16:06:18] DIA/USDT (BINANCE:DIAUSDT) Timeframe: 1m, Current price: 0.3694, Current candle evolution: -0.27%

[2024-07-24 16:06:18] RAY/USDT (BINANCE:RAYUSDT) Timeframe: 1m, Current price: 2.3220, Current candle evolution: -0.30%

